status,grade,score,quality,page_type,funnel,question,monetization,content_json,claims,needs_verification,critical_fails,url,title
Published (no brief),B,80.6,77.6,blog,,,,,,,Answer-first opening,/blog/diy-vs-professional-pet-relocation-dubai/,DIY vs a Pet Relocation Company From Dubai: Which Is Right?
Published (no brief),B,80.6,72.6,guide,,,,,,,Answer-first opening,/how-it-works/,How Pet Relocation from the UAE Works — Step by Step | PawRoute
Published,B,80.7,81.4,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to uk,lead_generation (route enquiry → WhatsApp quote),route-uk.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-uk/,"Pet Relocation Dubai to UK — Requirements, Pricing & Process | PawRoute"
Published,B,81.3,85.2,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to australia,lead_generation (route enquiry → WhatsApp quote),route-australia.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-australia/,"Pet Relocation Dubai to Australia — Requirements, Pricing & Timeline | PawRoute"
Published,B,81.6,78.9,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to france,lead_generation (route enquiry → WhatsApp quote),route-france.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-france/,Pet Relocation Dubai to France — Requirements & Pricing | PawRoute
Published,B,81.6,78.9,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to germany,lead_generation (route enquiry → WhatsApp quote),route-germany.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-germany/,Pet Relocation Dubai to Germany — Requirements & Pricing | PawRoute
Published,B,82.0,73.8,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to canada,lead_generation (route enquiry → WhatsApp quote),route-canada.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-canada/,Pet Relocation Dubai to Canada — Requirements & Pricing | PawRoute
Published,B,82.2,71.7,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to south africa,lead_generation (route enquiry → WhatsApp quote),route-south-africa.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-south-africa/,Pet Relocation Dubai to South Africa — Requirements & Pricing | PawRoute
Published,B,82.3,78.3,service,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to india,lead_generation (route enquiry → WhatsApp quote),route-india.json,CLAIMS-AUDIT.md,,Clear primary CTA,/destinations/uae-to-india/,Pet Relocation Dubai to India — Requirements & Pricing | PawRoute
Published (no brief),B,82.4,82.3,blog,,,,,,,,/blog/pet-breed-restrictions-flying-from-dubai/,Breed Restrictions: Which Pets Can Fly From Dubai?
Published (no brief),B,82.7,81.4,blog,,,,,,,Answer-first opening,/blog/how-pets-fly-from-dubai-cabin-baggage-cargo/,"How Pets Fly From Dubai: Cabin, Baggage, Cargo or Charter"
Published (no brief),B,83.3,82.7,trust_comparison,,,,,,,,/pricing/,"Pet Relocation Pricing from the UAE — Transparent, Upfront | PawRoute"
Published (no brief),B,83.5,85.6,blog,,,,,,,Answer-first opening,/blog/dubai-to-south-africa-pet-permit/,Dubai to South Africa Pet Move: Permit + the Tests
Published (no brief),B,85.8,90.0,blog,,,,,,,Answer-first opening,/blog/dubai-to-usa-pet-cdc-rules-2026/,Dubai to USA Pet Move: The CDC Dog Rules (2026)
Published (no brief),B,86.0,88.5,blog,,,,,,,Answer-first opening,/blog/dubai-to-india-pet-return/,Dubai to India Pet Move: The NOC That Makes or Breaks It
Published (no brief),B,86.0,83.3,blog,,,,,,,,/blog/dubai-to-singapore-pet-quarantine/,Dubai to Singapore Pet Move: Titre Test + Quarantine
Published (no brief),B,86.7,79.8,blog,,,,,,,,/blog/dubai-to-australia-pet-why-six-months/,Dubai to Australia Pet Move: Why It Takes ~6 Months
Published (no brief),B,87.0,76.2,default,,,,,,,,/moving-to-dubai/,"Moving to Dubai with a Pet — Verified Rules, Costs & Real Answers | PawRoute"
Published (no brief),B,87.3,89.6,blog,,,,,,,,/blog/dubai-to-canada-pet-rules/,"Dubai to Canada Pet Move: CFIA Rules, No Quarantine"
Published (no brief),B,89.0,86.8,blog,,,,,,,Answer-first opening,/blog/dubai-to-eu-pet-rules/,Dubai to the EU Pet Move: Health Certificate & Titre Test
Published (no brief),B,89.0,85.2,blog,,,,,,,,/blog/move-pet-from-dubai-fast/,Need to Move Your Pet From Dubai Fast? What's Possible
Published,A,93.0,91.7,trust_comparison,MOFU→BOFU (commercial-investigation → transactional),pet relocation dubai to uk cost,lead_generation,uae-to-uk-cost.json,CLAIMS-AUDIT.md,MOCCAE export-certificate validity window (page states 30 days per route file; some sources say 7–10 days) — confirm with MOCCAE before final publish.,,/destinations/uae-to-uk-cost/,Pet Relocation Dubai to UK: Real Cost & Process (2026)
Published,A,94.2,93.7,blog,TOFU→MOFU (informational → commercial-investigation) — feeds the route money pages,how much does it cost to relocate a pet from dubai,lead_generation,blog-pet-relocation-cost-2026.json,CLAIMS-AUDIT.md,Per-route ranges should be re-validated against live airline cargo quotes quarterly; MOCCAE certificate-validity window to confirm.,,/blog/pet-relocation-cost-from-dubai-2026/,"Pet Relocation Cost from Dubai: 2026 Data, 10 Routes"
Published (no brief),A,94.7,91.6,blog,,,,,,,,/blog/dubai-to-uk-pet-tapeworm-window/,Dubai to UK Pet Move: The Tapeworm Window That Decides It
